# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
AD18,GND,-,GND,-,-,-,,AD18,GND,-,GND,-,-,-,,AD18,GND,-,GND,-,-,-,,AD18,GND,-,GND,-,-,-
AD19,HDTXP0_D1CH1,-,-,True_OF_HDTXN0_D1CH1,-,-,,AD19,HDTXP0_D1CH1,51,-,True_OF_HDTXN0_D1CH1,-,-,,AD19,HDTXP0_D1CH1,-,-,True_OF_HDTXN0_D1CH1,-,-,,AD19,HDTXP0_D1CH1,51,-,True_OF_HDTXN0_D1CH1,-,-
AD20,HDTXN0_D1CH1,-,-,Comp_OF_HDTXP0_D1CH1,-,-,,AD20,HDTXN0_D1CH1,51,-,Comp_OF_HDTXP0_D1CH1,-,-,,AD20,HDTXN0_D1CH1,-,-,Comp_OF_HDTXP0_D1CH1,-,-,,AD20,HDTXN0_D1CH1,51,-,Comp_OF_HDTXP0_D1CH1,-,-
AD21,GND,-,GND,-,-,-,,AD21,GND,-,GND,-,-,-,,AD21,GND,-,GND,-,-,-,,AD21,GND,-,GND,-,-,-
AD22,RESERVED,-,-,-,-,-,,AD22,RESERVED,-,-,True_OF_ATSTN_D1,-,-,,AD22,RESERVED,-,-,-,-,-,,AD22,RESERVED,-,-,True_OF_ATSTN_D1,-,-
AD23,RESERVED,-,-,-,-,-,,AD23,RESERVED,-,-,Comp_OF_ATSTP_D1,-,-,,AD23,RESERVED,-,-,-,-,-,,AD23,RESERVED,-,-,Comp_OF_ATSTP_D1,-,-
AD24,GND,-,GND,-,-,-,,AD24,GND,-,GND,-,-,-,,AD24,GND,-,GND,-,-,-,,AD24,GND,-,GND,-,-,-
AD25,NC,-,-,-,-,-,,AD25,NC,-,-,-,-,-,,AD25,PB114B,4,-,Comp_OF_PB114A,-,-,,AD25,PB114B,4,-,Comp_OF_PB114A,-,-
AD26,NC,-,-,-,-,-,,AD26,NC,-,-,-,-,-,,AD26,PB119A,4,-,True_OF_PB119B,-,-,,AD26,PB119A,4,-,True_OF_PB119B,-,-
AE1,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,AE1,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,AE1,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,AE1,PB9A,8,D3/IO3,True_OF_PB9B,-,-
AE2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,AE2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,AE2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,AE2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-
AE3,CCLK,8,MCLK/SCK,-,-,-,,AE3,CCLK,8,MCLK/SCK,-,-,-,,AE3,CCLK,8,MCLK/SCK,-,-,-,,AE3,CCLK,8,MCLK/SCK,-,-,-
AE4,CFG_1,8,-,-,-,-,,AE4,CFG_1,8,-,-,-,-,,AE4,CFG_1,8,-,-,-,-,,AE4,CFG_1,8,-,-,-,-
AE5,TMS,40,-,-,-,-,,AE5,TMS,40,-,-,-,-,,AE5,TMS,40,-,-,-,-,,AE5,TMS,40,-,-,-,-
AE6,GND,-,GND,-,-,-,,AE6,GND,-,GND,-,-,-,,AE6,GND,-,GND,-,-,-,,AE6,GND,-,GND,-,-,-
AE7,GND,-,GND,-,-,-,,AE7,GND,-,GND,-,-,-,,AE7,GND,-,GND,-,-,-,,AE7,GND,-,GND,-,-,-
AE9,GND,-,GND,-,-,-,,AE9,GND,-,GND,-,-,-,,AE9,GND,-,GND,-,-,-,,AE9,GND,-,GND,-,-,-
AE10,GND,-,GND,-,-,-,,AE10,GND,-,GND,-,-,-,,AE10,GND,-,GND,-,-,-,,AE10,GND,-,GND,-,-,-
AE12,GND,-,GND,-,-,-,,AE12,GND,-,GND,-,-,-,,AE12,GND,-,GND,-,-,-,,AE12,GND,-,GND,-,-,-
AE13,GND,-,GND,-,-,-,,AE13,GND,-,GND,-,-,-,,AE13,GND,-,GND,-,-,-,,AE13,GND,-,GND,-,-,-
AE15,GND,-,GND,-,-,-,,AE15,GND,-,GND,-,-,-,,AE15,GND,-,GND,-,-,-,,AE15,GND,-,GND,-,-,-
AE16,GND,-,GND,-,-,-,,AE16,GND,-,GND,-,-,-,,AE16,GND,-,GND,-,-,-,,AE16,GND,-,GND,-,-,-
AE18,GND,-,GND,-,-,-,,AE18,GND,-,GND,-,-,-,,AE18,GND,-,GND,-,-,-,,AE18,GND,-,GND,-,-,-
AE19,GND,-,GND,-,-,-,,AE19,GND,-,GND,-,-,-,,AE19,GND,-,GND,-,-,-,,AE19,GND,-,GND,-,-,-
AE21,GND,-,GND,-,-,-,,AE21,GND,-,GND,-,-,-,,AE21,GND,-,GND,-,-,-,,AE21,GND,-,GND,-,-,-
AE22,GND,-,GND,-,-,-,,AE22,GND,-,GND,-,-,-,,AE22,GND,-,GND,-,-,-,,AE22,GND,-,GND,-,-,-
AE24,GND,-,GND,-,-,-,,AE24,GND,-,GND,-,-,-,,AE24,GND,-,GND,-,-,-,,AE24,GND,-,GND,-,-,-
AE25,NC,-,-,-,-,-,,AE25,NC,-,-,-,-,-,,AE25,PB114A,4,-,True_OF_PB114B,-,-,,AE25,PB114A,4,-,True_OF_PB114B,-,-
AE26,NC,-,-,-,-,-,,AE26,NC,-,-,-,-,-,,AE26,PB116B,4,-,Comp_OF_PB116A,-,-,,AE26,PB116B,4,-,Comp_OF_PB116A,-,-
AF2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,AF2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,AF2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,AF2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-
AF3,INITN,8,-,-,-,-,,AF3,INITN,8,-,-,-,-,,AF3,INITN,8,-,-,-,-,,AF3,INITN,8,-,-,-,-
AF4,CFG_0,8,-,-,-,-,,AF4,CFG_0,8,-,-,-,-,,AF4,CFG_0,8,-,-,-,-,,AF4,CFG_0,8,-,-,-,-
AF5,GND,-,GND,-,-,-,,AF5,GND,-,GND,-,-,-,,AF5,GND,-,GND,-,-,-,,AF5,GND,-,GND,-,-,-
AF6,HDRXP0_D0CH0,-,-,True_OF_HDRXN0_D0CH0,-,-,,AF6,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-,,AF6,HDRXP0_D0CH0,-,-,True_OF_HDRXN0_D0CH0,-,-,,AF6,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-
AF7,HDRXN0_D0CH0,-,-,Comp_OF_HDRXP0_D0CH0,-,-,,AF7,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,,AF7,HDRXN0_D0CH0,-,-,Comp_OF_HDRXP0_D0CH0,-,-,,AF7,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-
AF9,HDRXP0_D0CH1,-,-,True_OF_HDRXN0_D0CH1,-,-,,AF9,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,,AF9,HDRXP0_D0CH1,-,-,True_OF_HDRXN0_D0CH1,-,-,,AF9,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-
AF10,HDRXN0_D0CH1,-,-,Comp_OF_HDRXP0_D0CH1,-,-,,AF10,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,,AF10,HDRXN0_D0CH1,-,-,Comp_OF_HDRXP0_D0CH1,-,-,,AF10,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-
AF12,REFCLKP_D0,-,-,True_OF_REFCLKN_D0,-,-,,AF12,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-,,AF12,REFCLKP_D0,-,-,True_OF_REFCLKN_D0,-,-,,AF12,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-
AF13,REFCLKN_D0,-,-,Comp_OF_REFCLKP_D0,-,-,,AF13,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-,,AF13,REFCLKN_D0,-,-,Comp_OF_REFCLKP_D0,-,-,,AF13,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-
AF15,HDRXP0_D1CH0,-,-,True_OF_HDRXN0_D1CH0,-,-,,AF15,HDRXP0_D1CH0,51,-,True_OF_HDRXN0_D1CH0,-,-,,AF15,HDRXP0_D1CH0,-,-,True_OF_HDRXN0_D1CH0,-,-,,AF15,HDRXP0_D1CH0,51,-,True_OF_HDRXN0_D1CH0,-,-
AF16,HDRXN0_D1CH0,-,-,Comp_OF_HDRXP0_D1CH0,-,-,,AF16,HDRXN0_D1CH0,51,-,Comp_OF_HDRXP0_D1CH0,-,-,,AF16,HDRXN0_D1CH0,-,-,Comp_OF_HDRXP0_D1CH0,-,-,,AF16,HDRXN0_D1CH0,51,-,Comp_OF_HDRXP0_D1CH0,-,-
AF18,HDRXP0_D1CH1,-,-,True_OF_HDRXN0_D1CH1,-,-,,AF18,HDRXP0_D1CH1,51,-,True_OF_HDRXN0_D1CH1,-,-,,AF18,HDRXP0_D1CH1,-,-,True_OF_HDRXN0_D1CH1,-,-,,AF18,HDRXP0_D1CH1,51,-,True_OF_HDRXN0_D1CH1,-,-
AF19,HDRXN0_D1CH1,-,-,Comp_OF_HDRXP0_D1CH1,-,-,,AF19,HDRXN0_D1CH1,51,-,Comp_OF_HDRXP0_D1CH1,-,-,,AF19,HDRXN0_D1CH1,-,-,Comp_OF_HDRXP0_D1CH1,-,-,,AF19,HDRXN0_D1CH1,51,-,Comp_OF_HDRXP0_D1CH1,-,-
AF21,REFCLKP_D1,-,-,True_OF_REFCLKN_D1,-,-,,AF21,REFCLKP_D1,51,-,True_OF_REFCLKN_D1,-,-,,AF21,REFCLKP_D1,-,-,True_OF_REFCLKN_D1,-,-,,AF21,REFCLKP_D1,51,-,True_OF_REFCLKN_D1,-,-
AF22,REFCLKN_D1,-,-,Comp_OF_REFCLKP_D1,-,-,,AF22,REFCLKN_D1,51,-,Comp_OF_REFCLKP_D1,-,-,,AF22,REFCLKN_D1,-,-,Comp_OF_REFCLKP_D1,-,-,,AF22,REFCLKN_D1,51,-,Comp_OF_REFCLKP_D1,-,-
AF24,GND,-,GND,-,-,-,,AF24,GND,-,GND,-,-,-,,AF24,GND,-,GND,-,-,-,,AF24,GND,-,GND,-,-,-
AF25,NC,-,-,-,-,-,,AF25,NC,-,-,-,-,-,,AF25,PB116A,4,-,True_OF_PB116B,-,-,,AF25,PB116A,4,-,True_OF_PB116B,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     This table is to migrate between ECP5U and ECP5UM devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     The Serdes pins should be connected as below:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SERDES power pins should be connected on ECP5U device, so when ECP5UM is used, power pins would be connected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SERDES HDin pins should be connected on ECP5U device as it would when it is replaced with ECP5UM device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SERDES HDout pins should be connected on ECP5U device as it would when it is replaced with ECP5UM device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SERDES Refclk pins should be connected on ECP5U device as it would when it is replaced with ECP5UM device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Migration is allowed between ECP5U and ECP5UM devices with different densities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
