# Pin Out For ECP5-5G-85,,,,,,,
# Revision 0.0,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
147,PL80B,6,-,Comp_OF_PL80A,TRUE,LDQ77,-
148,VCCIO6,-,6,-,-,-,-
149,PL80D,6,6,Comp_OF_PL80C,-,LDQ77,-
150,PL83A,6,-,True_OF_PL83B,TRUE,LDQ89,-
151,VSSIO6,-,6,-,-,-,-
152,PL83C,6,6,True_OF_PL83D,-,LDQ89,J17
153,PL83B,6,-,Comp_OF_PL83A,TRUE,LDQ89,-
154,VCCIO6,-,6,-,-,-,-
155,PL83D,6,6,Comp_OF_PL83C,-,LDQ89,H18
156,PL86A,6,-,True_OF_PL86B,TRUE,LDQ89,J18
157,VCCAUX,-,6,-,-,-,-
158,PL86C,6,6,True_OF_PL86D,-,LDQ89,K16
159,PL86B,6,-,Comp_OF_PL86A,TRUE,LDQ89,K18
160,VSS,-,6,-,-,-,-
161,PL86D,6,6,Comp_OF_PL86C,-,LDQ89,K15
162,PL89A,6,-,True_OF_PL89B,TRUE,LDQS89,K17
163,VCC,-,6,-,-,-,-
164,PL89C,6,6,True_OF_PL89D,-,LDQ89,L15
165,PL89B,6,-,Comp_OF_PL89A,TRUE,LDQSN89,L18
166,VSS,-,6,-,-,-,-
167,PL89D,6,6,Comp_OF_PL89C,-,LDQ89,L16
168,PL92A,6,-,True_OF_PL92B,TRUE,LDQ89,-
169,VSSIO6,-,6,-,-,-,-
170,PL92B,6,6,Comp_OF_PL92A,TRUE,LDQ89,-
171,VCCIO6,-,-,-,-,-,-
172,PL92C,6,6,True_OF_PL92D,-,LDQ89,M16
173,PL92D,6,6,Comp_OF_PL92C,-,LDQ89,M17
174,NC,-,-,-,-,-,-
175,NC,-,6,-,-,-,-
176,GND,-,6,-,-,-,-
177,VCC,-,-,-,-,-,-
178,VCC,-,6,-,-,-,-
179,VSS,-,6,-,-,-,-
180,PB4A,8,-,True_OF_PB4B,-,-,N15
181,PB6A,8,6,True_OF_PB6B,-,-,N17
182,VCC,-,6,-,-,-,-
183,PB4B,8,-,Comp_OF_PB4A,-,-,N16
184,PB6B,8,6,Comp_OF_PB6A,-,-,M18
185,VSS,-,6,-,-,-,-
186,PB9A,8,-,True_OF_PB9B,-,-,N18
187,PB11A,8,6,True_OF_PB11B,-,-,T18
188,VSSIO8,-,6,-,-,-,-
189,PB9B,8,-,Comp_OF_PB9A,-,-,R18
190,PB11B,8,6,Comp_OF_PB11A,-,-,U18
191,VCCIO8,-,-,-,-,-,-
192,PB13A,8,6,True_OF_PB13B,-,-,R17
193,PB15A,8,6,True_OF_PB15B,-,-,U17
194,VSSIO8,-,-,-,-,-,-
195,PB13B,8,-,Comp_OF_PB13A,-,-,T17
196,PB15B,8,-,Comp_OF_PB15A,-,-,V17
197,VCCIO8,-,-,-,-,-,-
198,PB18A,8,-,-,-,-,R16
199,INITN,8,-,-,-,-,V16
200,VCCAUX,-,8,-,-,-,-
201,CCLK,8,8,-,-,-,U16
202,PROGRAMN,8,-,-,-,-,T15
203,VSS,-,8,-,-,-,-
204,DONE,8,8,-,-,-,U15
205,CFG_1,8,-,-,-,-,T14
206,VCC,-,8,-,-,-,-
207,CFG_2,8,8,-,-,-,V15
208,CFG_0,8,-,-,-,-,U14
209,VSS,-,8,-,-,-,-
210,TDO,40,8,-,-,-,V14
211,TCK,40,-,-,-,-,U13
212,VSSIO8,-,8,-,-,-,-
213,TDI,40,8,-,-,-,T13
214,TMS,40,-,-,-,-,V13
215,VCCIO8,-,8,-,-,-,-
216,VCC,-,8,-,-,-,-
217,VCC,-,-,-,-,-,-
218,VSS,-,8,-,-,-,-
219,VSS,-,8,-,-,-,-
220,VCC,-,-,-,-,-,-
221,VCC,-,8,-,-,-,-
222,VSSA0_D0CH0,-,8,-,-,-,-
223,VCCATX0_D0CH0,-,-,-,-,-,-
